comment,rating,Вопрос не решен,Вопрос решен,Не понравилось качество услуги,Не понравился результат услуги,Понравилась работа сотрудников,Понравилась скорость работы,Понравилось качество услуги,Понравился результат услуги,Претензии и предложения
оперативное решение проблемы!,5.0,0,1,0,0,0,1,0,0,0
Первый раз вы решили вопрос быстро ,5.0,0,0,0,0,0,1,0,0,1
Надолго ли,1.0,0,0,1,0,0,0,0,0,0
отлично спасибо ,5.0,0,1,0,0,0,0,0,0,0
"спасибо большое, Татьяна.",5.0,0,0,0,0,1,0,0,0,0
Лучший мастер на свете  улыбающееся лицо с сердечкамиСпасибо большое  сложенные руки (молитва или благодарность),5.0,0,1,0,0,1,0,0,0,0
"Спасибо большое, что починили домофон. ",5.0,0,1,0,0,0,0,0,0,0
Отличная работа,5.0,0,1,0,0,0,0,1,1,0
Спасибо огромное за помощь!,5.0,0,1,0,0,0,0,0,0,0
"обычная услуга. Цена, правда, завышена (за около 10ти минут работы). ",5.0,0,1,0,0,0,0,0,0,1
отличная работа. теперь дверь закрывается плавно. спасибо. ,5.0,0,1,0,0,0,0,1,1,0
спасибо большое ,5.0,0,1,0,0,0,0,0,0,0
Все супер быстро! Спасибо! ,5.0,0,1,0,0,0,1,0,0,0
Оперативно) спасибо,5.0,0,1,0,0,0,1,0,0,0
Супер,5.0,0,0,0,0,0,0,1,1,0
Спасибо.,5.0,0,1,0,0,0,0,0,0,0
"Молодцы, оперативно. ",5.0,0,0,0,0,0,1,0,1,0
Вопрос решился быстро. Спасибо!,5.0,0,1,0,0,0,1,0,0,0
Спасибо  подмигивающее лицо ,5.0,0,1,0,0,0,0,0,0,0
Александру спасибо за объяснение причины бульканья ! ,5.0,0,1,0,0,1,0,0,0,0
спасибо! всё быстро!,5.0,0,1,0,0,0,1,0,0,0
Спасибо! Исправили мою ошибку,5.0,0,1,0,0,0,0,0,0,0
мастер сделал все очень быстро и аккуратно,5.0,0,1,0,0,1,1,1,0,0
спасибо за оперативность,5.0,0,0,0,0,0,1,0,0,0
Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо ,5.0,0,1,0,0,1,1,1,1,0
"Иван, огромное спасибо вам ! ",5.0,0,0,0,0,1,0,0,0,0
Среагировали за 20 минут!!!!,5.0,0,0,0,0,0,1,0,0,0
"Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист) ",5.0,0,1,0,0,1,0,0,0,0
спасибо! в тот же день электрик решил проблему.,5.0,0,1,0,0,0,1,0,0,0
"Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах",5.0,0,1,0,0,0,0,0,1,1
да все верно. спасибо,5.0,0,1,0,0,0,0,0,0,0
спасибо всё бистро устранили ,5.0,0,1,0,0,0,1,0,0,0
"Спасибо, вроде бы стало лучше. ",4.0,0,1,0,0,0,0,0,1,0
Спасибо большое за Вашу быструю и профессиональную помощь. ,5.0,0,1,0,0,0,1,1,0,0
"Все быстро, не смотря на поздний час.",5.0,0,0,0,0,0,1,0,0,0
ответ был предоставлен оперативно и в полном объеме,5.0,0,1,0,0,1,1,1,0,0
"Спасибо огромное,  напор стал отличным!",5.0,0,1,0,0,0,0,0,1,0
Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),5.0,0,1,0,0,0,0,1,0,1
сделали,5.0,0,1,0,0,0,0,0,0,0
Спасибо мастеру Сергею за четкую работу! ,5.0,0,1,0,0,1,0,1,1,0
"Наконец - то. Очень надеюсь, что через 2 дня он не встанет снова",4.0,0,1,1,0,0,0,0,0,0
"Благодарим, очень оперативно!",5.0,0,0,0,0,0,1,0,0,0
"Быстро, мастеру большое спасибо",5.0,0,0,0,0,1,1,0,0,0
"Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!",5.0,0,0,0,0,1,1,0,0,0
главное что проблема решена! спасибо!,5.0,0,1,0,0,0,0,0,0,0
Спасибо.. все сделали быстро .. очень вежливые сотрудники. ,5.0,0,1,0,0,1,1,0,0,0
"спасибо, что решили проблему оперативно ",5.0,0,1,0,0,0,1,0,0,0
"Оперативно, внимательно, вежливо. Спасибо. ",5.0,0,1,0,0,0,1,0,0,0
"Спасибо, всё оперативно сделали!",5.0,0,1,0,0,0,1,0,0,0
Была распечатана бумажная квитанция.Хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение Самолет+УК,5.0,0,1,0,0,1,0,0,0,1
Заявка быстра принята в работу. Проблема решена. Спасибо!,5.0,0,1,0,0,0,1,0,0,0
Молодцы! Быстро!  сияющее улыбающееся лицо,5.0,0,1,0,0,0,1,0,0,0
 Спасибо большое за оперативность палец вверх палец вверх палец вверх,5.0,0,0,0,0,0,1,0,0,0
Благодарю!,5.0,0,1,0,0,0,0,0,0,0
"Спасибо большое,всех благ и процветание вашей компании ",5.0,0,1,0,0,0,0,0,0,1
спасибо электрику,5.0,0,0,0,0,1,0,0,0,0
всё грамотно по полочкам объяснил,5.0,0,0,0,0,1,0,1,0,0
благодарю за быстро и качественно оказанную услугу,5.0,0,1,0,0,0,1,1,0,0
Спасибо за оперативное решение вопроса! ,5.0,0,1,0,0,0,1,0,0,0
"Огромное спасибо, быстро и качественно ",5.0,0,1,0,0,0,1,1,0,0
Спасибо большое за оперативность ,5.0,0,0,0,0,0,1,0,0,0
спасибо за ремонт!,5.0,0,1,0,0,0,0,0,1,0
благодарю менеджера Татьяну ,5.0,0,0,0,0,1,0,0,0,0
благодарю менеджера ,5.0,0,0,0,0,1,0,0,0,0
сотрудники молодцы!,5.0,0,0,0,0,1,0,0,0,0
Большое спасибо ,5.0,0,1,0,0,0,0,0,0,0
оперативно и качественно! браво!,5.0,0,1,0,0,0,1,1,0,0
Спасибо огромное! Оперативно и качественно решили проблему! ,5.0,0,1,0,0,0,1,1,0,0
"Поднималась сегодня с утра, запаха нет совсем. Спасибо большое ",5.0,0,1,0,0,0,0,0,0,0
"Специалист проконсультировал, сориентировал по срокам.",5.0,0,1,0,0,1,0,1,0,0
"спасибо, быстро и качественно. ",5.0,0,1,0,0,0,1,1,0,0
спасибо. ,5.0,0,1,0,0,0,0,0,0,0
Спасибо за оперативность :dizzy::dizzy::dizzy:,5.0,0,0,0,0,0,1,0,0,0
Все отлично! Спасибо ,5.0,0,1,0,0,1,1,1,1,0
"Спасибо, большое!!!",5.0,0,1,0,0,0,0,0,0,0
Спасибо  большое ! ,5.0,0,1,0,0,0,0,0,0,0
Быстро и оперативно ,5.0,0,0,0,0,0,1,0,0,0
все отлично,5.0,0,1,0,0,1,1,1,1,0
Оперативно. Пока работает ,5.0,0,0,0,0,0,1,0,0,0
"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! ",5.0,0,0,0,0,1,1,1,1,0
Отличный сотрудник ,5.0,0,0,0,0,1,0,0,0,0
Спасибо Мастеру Олегу!,5.0,0,0,0,0,1,0,0,0,0
"Для точной оценки нужно пережить зиму и понять, лучше стало или нет",5.0,0,1,0,0,0,0,0,0,0
"Спасибо большое за оперативность!) палец вверх Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!))  улыбающееся лицо с открытыми руками",5.0,0,1,0,0,0,1,1,1,0
Быстро.Качественно.,5.0,0,0,0,0,0,1,1,0,0
Спасибо большое всё решили быстро!,5.0,0,1,0,0,0,1,0,0,0
"оперативно, быстро .",5.0,0,0,0,0,0,1,0,0,0
"оказали не только услугу по приобретению ключа,но ещё установили приложение УК Самолёт!!!",5.0,0,1,0,0,0,0,1,1,0
Приходил мастер все отрегулировал большое спасибо ,5.0,0,1,0,0,1,0,0,0,0
Оперативно ,5.0,0,0,0,0,0,1,0,0,0
спасибо за консультацию,5.0,0,1,0,0,0,0,1,1,0
"Парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали)",5.0,0,0,1,0,1,0,0,0,0
Спасибо! Всё хорошо ,5.0,0,1,0,0,1,1,1,1,0
Все ок,5.0,0,1,0,0,0,0,0,0,0
Сразу бы так,5.0,0,1,0,0,0,0,0,0,0
"Ответ получен. Спасибо, что результатом стало уточнение и меня поняли.",5.0,0,1,0,0,0,0,0,1,0
"Благодарю за обратную связь. За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. При звонке было вежливое, доброжелательное отношение.",5.0,0,1,0,0,1,0,0,0,0
Прислали на следующий день.,5.0,0,0,0,0,0,1,0,0,0
Очень быстро отреагировали. Работа качественная!,5.0,0,1,0,0,0,1,1,0,0
Ну устранено,1.0,0,1,1,1,0,0,0,0,0
спасибо за подсказки и внимательное отношение ,5.0,0,0,0,0,0,0,1,0,0
Сантехник связался сразу. Вопрос решен. ,5.0,0,1,0,0,0,1,0,0,0
Спасибо технику),5.0,0,0,0,0,1,0,0,0,0
Благодарю.  Всё отлично  палец вверх. ,5.0,0,1,0,0,1,1,1,1,0
Сантехник был ,5.0,0,1,0,0,0,0,0,0,0
подсказали куда обратиться для решения вопроса,5.0,0,1,0,0,0,0,1,0,0
Спасибо большое за информацию. Татьяна молодец!,5.0,0,0,0,0,1,0,1,0,0
"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю. ",5.0,0,1,0,0,0,1,1,0,0
Все было сделано быстро и качественно.,5.0,0,1,0,0,0,1,1,0,0
"Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо ",5.0,0,1,0,0,0,0,1,1,0
"Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!",5.0,0,1,0,0,0,0,0,0,0
да открыла спасибо,5.0,0,1,0,0,0,0,0,0,0
"быстро позвонили, пришли все сделали,спасибо ",5.0,0,1,0,0,0,1,0,1,0
"Молодцы, очень оперативно!!!!! Прям минус одна головная боль ",5.0,0,1,0,0,0,1,0,0,0
"Очень быстро, качественно. Спасибо!  рукопожатие",5.0,0,1,0,0,0,1,1,0,0
спасибо большое за разъяснения и за оперативность,5.0,0,1,0,0,0,1,1,0,0
"сотрудники работают на 5+ ! мгновенно обрабатываются заявки, ответ поступает сразу и всё решается.отличный сервис, очень приятно)",5.0,0,1,0,0,1,1,0,1,0
Быстро и понятно ,5.0,0,1,0,0,0,1,1,1,0
Спасибо за консультацию!,5.0,0,0,0,0,1,0,0,0,0
"Просто и удобно, а также быстро и экономия времени и ресурсов.",5.0,0,1,0,0,0,1,1,1,0
Отлично!,5.0,0,1,0,0,0,0,0,0,0
Отлично все сделано 5 балов.,5.0,0,1,0,0,1,1,1,1,0
четвёрка за то что выслали только со второго раза. нужную квитанцию! ,4.0,0,0,1,0,0,0,0,0,1
отлично палец вверх аплодисменты широко улыбающееся лицо с прищуренными глазами,5.0,0,1,0,0,0,0,0,0,0
спс,5.0,0,1,0,0,0,0,0,0,0
"Спасибо большое, все получила ",5.0,0,1,0,0,1,1,1,1,0
"Спасибо ,очень оперативно ",5.0,0,0,0,0,0,1,0,0,0
"благодарю мастера, всё объяснил и дал рекомендации",5.0,0,0,0,0,1,0,1,0,0
Ребята молодцы,5.0,0,0,0,0,1,0,0,0,0
Спасибо за оперативное решение,5.0,0,1,0,0,0,1,0,0,0
"оперативно, спасибо",5.0,0,0,0,0,0,1,0,0,0
Большое спасибо мастеру!,5.0,0,0,0,0,1,0,0,0,0
"к оказанию самой услуги и сантехнику претензий нет. а вот, то что отключения происходят регулярно - крайне негативно сказывается на впечатление о компании Самолет УК",5.0,0,0,0,1,1,0,1,0,1
"Специалист компетентно объяснил, что необходимо сделать таких случаях! Игорь Золотухин  палец вверх",5.0,0,0,0,0,1,0,1,0,0
Быстро и чётко,5.0,0,0,0,0,0,1,1,0,0
Всё хорошо,5.0,0,1,0,0,1,1,1,1,0
Владимир грамотно и здорово и быстро все сделал,5.0,0,0,0,0,1,1,1,0,0
Отличный сервис! ,5.0,0,1,0,0,0,0,1,0,0
огромное спасибо,5.0,0,1,0,0,0,0,0,0,0
"Спасибо! Сервис работает, это самое главное :)",5.0,0,1,0,0,0,0,0,0,0
"Все отлично,позвонили,ответ предоставили ",5.0,0,1,0,0,1,1,1,1,0
Заявка была отработана в течение 5-ти минут.  Благодарю за оперативность!,5.0,0,1,0,0,0,1,0,0,0
"Все отлично, спасибо",5.0,0,1,0,0,1,1,1,1,0
Оперативное решение! Спасибо),5.0,0,1,0,0,0,1,0,0,0
"Татьяна оперативно решила вопрос,очень отзывчивая  палец вверх",5.0,0,1,0,0,1,1,1,0,0
Все гуд,5.0,0,1,0,0,1,1,1,1,0
Все отлично. палец вверх,5.0,0,1,0,0,1,1,1,1,0
"Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо. ",5.0,0,0,0,0,0,1,1,0,0
"Спасибо что убрали надпись. Думал, будет аккуратнее ",4.0,0,1,1,0,0,0,0,0,0
все быстро и четко ,5.0,0,0,0,0,0,1,1,0,0
"Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо! ",5.0,0,1,0,0,1,0,1,0,0
спасибо за помощь от подключившихся инженеров.,5.0,0,1,0,0,1,0,0,0,0
Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!,5.0,0,1,0,0,1,1,1,1,0
"Благодарю, хотя я уже давно просила и получаю на эл.почту, но почему-то ещё и бумажные получала.",5.0,0,1,1,0,0,0,0,0,1
Вопрос был решен оперативно) спасибо большое!,5.0,0,1,0,0,0,1,0,0,0
Молодцы!,5.0,0,0,0,0,1,0,0,0,0
Все ок ) спасибо ,5.0,0,1,0,0,0,0,0,0,0
"красавцы, быстро,  оперативно,  очень приятно в общении ",5.0,0,0,0,0,1,1,0,0,0
Хорошее обслуживание),5.0,0,0,0,0,0,0,1,0,0
Оперативно как всегда ,5.0,0,0,0,0,0,1,0,0,0
"Большое спасибо , оперативно поставили ограничители ",5.0,0,1,0,0,0,1,0,0,0
"одну звезду сняла за то,что отличается цвет плитки)",4.0,0,1,0,1,0,0,0,0,0
спасибо! быстро и оперативно,5.0,0,1,0,0,0,1,0,0,0
Горячая вода появилась.,5.0,0,0,0,0,0,0,0,1,0
"Оперативно, спасибо",5.0,0,0,0,0,0,1,0,0,0
Спасибо за оперативность ,5.0,0,0,0,0,0,1,0,0,0
Спасибо большое за оперативность  поднятые руки (светлая кожа) вишнёвый цвет,5.0,0,0,0,0,0,1,0,0,0
Вот теперь молодцы ,5.0,0,0,0,0,1,0,0,0,0
все отлично бистро устранили мастер хороши,5.0,0,0,0,0,1,1,0,0,0
"спасибо, проблема была решена",5.0,0,1,0,0,0,0,0,0,0
"спасибо за оперативность и грамотный, развёрнутый ответ)",5.0,0,0,0,0,0,1,1,0,0
Спасибо большое! Заявка выполнена быстро и качественно!,5.0,0,1,0,0,0,1,1,0,0
Огромное спасибо ,5.0,0,1,0,0,0,0,0,0,0
Супер!!!,5.0,0,0,0,0,0,0,0,1,0
Выполнено быстро и качественно!,5.0,0,1,0,0,0,1,1,0,0
Всё  понятно объяснили.,5.0,0,0,0,0,0,0,0,1,0
Большое спасибо Василию за проделанную работу!,5.0,0,1,0,0,1,0,0,1,0
"Благодарю, помогли, а то до Вас никто не мог решить эту проблему, еще раз спасибо)",5.0,0,1,0,0,0,0,1,1,0
"Очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. Благодарю!",5.0,0,1,0,0,1,1,0,1,0
"быстро отреагировали, запустили",5.0,0,0,0,0,0,1,0,0,0
Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.,5.0,0,0,0,0,0,1,0,1,0
Оперативно и надежно),5.0,0,0,0,0,0,1,1,0,0
Отлично,5.0,0,1,0,0,1,1,1,1,0
"Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные палец вверх",5.0,0,0,0,0,1,1,1,0,0
"Все супер, Очень оперативно и профессионально, Спасибо ",5.0,0,0,0,0,0,1,1,0,0
Всё быстро и качественно! палец вверх,5.0,0,0,0,0,0,1,1,0,0
"Тот кто  выполнял заявку, чудо! Оперативно выполнили. Спасибо  палец вверх (светлая кожа)",5.0,0,1,0,0,0,1,1,1,0
"спасибо,жду бумажные платежные поручения со следующего месяца ",5.0,0,1,0,0,0,0,0,0,0
"лучший мастер на свете, нужно ему выдать премию ",5.0,0,0,0,0,1,0,0,0,0
работает! Спасибо,5.0,0,1,0,0,0,0,0,1,0
"Спасибо электрику, оперативно пришёл! ",5.0,0,0,0,0,1,1,0,0,0
все отлично! ,5.0,0,1,0,0,1,1,1,1,0
"Хотелось, что бы каждый месяц присылали квитанцию на почту или в приложении",5.0,0,0,1,0,0,0,0,0,1
"Большое спасибо электрику! Ситуация была не из простых, но он обнаружил проблему и смог ее решить ",5.0,0,1,0,0,1,0,1,1,0
Сантехник молодец! Устранил утечку воды выше по этажу и в нас перестала течь вода. Молодец!,5.0,0,1,0,0,1,0,0,1,0
благодарю,5.0,0,1,0,0,0,0,0,0,0
спасибо большое за работу и оперативность,5.0,0,1,0,0,0,1,0,1,0
"жалко, что при оплате счетов через банк, в приложении не отображается информация об оплате и приходится загружать квитанции дополнительно и подтверждать факт оплаты",4.0,0,0,1,0,0,0,0,0,0
Все быстро и качественно ,5.0,0,0,0,0,0,1,1,0,0
"спасибо большое, жаль, что там уже опять намусорили(",5.0,0,1,0,0,0,0,0,0,0
"спасибо, теперь она закрывается ",5.0,0,1,0,0,0,0,0,1,0
"Можно было и сразу заявку выполнить. Не забываете что по периметру несколько контейнеров для пакетов. Пакеты кончаются быстро, значит хозяева убирают за собаками. ",3.0,0,0,0,1,0,0,0,0,1
"Спасибо большое за оперативность,мир и процветание вашей компании Самолет!",5.0,0,0,0,0,0,1,0,1,0
Выше похвал.. ,5.0,0,1,0,0,1,1,1,1,0
Спасибо за оперативность! ,5.0,0,0,0,0,0,1,0,0,0
Благодарю за оперативность.,5.0,0,0,0,0,0,1,0,0,0
Спасибо..,5.0,0,1,0,0,0,0,0,0,0
"очень вежливая и грамотная сотрудница, побольше бы таких!",5.0,0,0,0,0,1,0,0,0,0
спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.,5.0,0,1,1,0,0,0,0,0,1
все прекрасно,5.0,0,1,0,0,1,1,1,1,0
"все быстро и качественно, большое спасибо!",5.0,0,0,0,0,0,1,1,0,0
